Headline
Director of Engineering at Wood Mackenzie
Software Engineer at Wood Mackenzie
Data Science Software Engineer at Wood Mackenzie
Principal Data Scientist at Wood Mackenzie
Director at Wood Mackenzie
👨🏻‍💻DevOps Engineer I at Wood Mackenzie
Energy Transition | CCUS | Petroleum Engineering | Geoscience | Geomechanics
Research Associate at Wood Mackenzie
Data Science Software Engineer at Wood Mackenzie
Associate - Equities
Research Analyst at Wood Mackenzie
Research Analyst (Natural Gas Liquids)
Data Associate at Wood Mackenzie
Senior Account Manager at Wood Mackenzie
Principal Data Scientist/Engineer at Wood Mackenzie
"Geoscientist, Finance Professional"
"Director, Enterprise Master Data Management"
"Principal Analyst, CCUS at Wood Mackenzie"
Energy Research Manager at Wood Mackenzie | CCUS | Upstream
Research Analyst - North America Unconventional Plays at Wood Mackenzie
Research Associate at Wood Mackenzie
Data & Analytics Technology and Strategy lead
Director Management Consulting | Energy | Energy Transition | Carbon Capture | Strategy | Transaction Support | Operations
Technical Recruiter at Wood Mackenzie
SWE Co-op @ Wood Mackenzie Supply Chain | CS @ Northeastern
Data Analyst - Upstream Research Canada at Wood Mackenzie
Senior Analyst | Energy | Sustainability | Corporate Analysis
DevOps Engineer at Wood Mackenzie
Senior Data Manager
Data Engineer at Wood Mackenzie
Senior Accounts Specialist - Metals & Mining at Wood Mackenzie
Software Engineer 2 at Wood Mackenzie
Energy Recruiter at Wood Mackenzie
Consultant at Wood Mackenzie
Energy Intelligence / Corporate Strategy / Project Management
Managing Consultant
Data Analyst in the Supply Chain Data & Analytics Department of Wood Mackenzie
Product Manager at Wood Mackenzie
Data Analyst at Wood Mackenzie | Not an Entrepreneur
Senior Engineer at Wood Mackenzie
Data Associate - Global Corporate Research Data at Wood Mackenzie
"Software Engineer I at Wood Mackenzie | Northeastern University, Class of 2022"
Marketing | Strategy | Digital
Product Manager at Wood Mackenzie
Software Developer Co-op at Wood Mackenzie
Product Manager at Wood Mackenzie
Senior natural resources & energy consulting professional & sustainability realist
Account Manager at Wood Mackenzie
Senior Engineering Manager
Power Market Analyst
Data Associate at Wood Mackenzie
Software Developer Co-op at Wood Mackenzie | Computer Science Student at Northeastern University
Senior Consultant
Senior Engineer at Wood Mackenzie
Senior Software Engineer - Data ingestion
Business Operations Analyst @Wood Mackenzie I Business Master @University of Exeter
Engineering Manager | Agile | Leadership
Software engineer @ Wood Mackenzie
"Principal Analyst, Subsurface Research at Wood Mackenzie"
Power&Renewables Consultant at Wood Mackenzie
Software Engineer at Wood Mackenzie
Data Associate at Wood Mackenzie
Senior Software Engineer at Wood Mackenzie
"Product Management, Analytics and Strategy"
Product Portfolio Strategy at Wood Mackenzie
"Research Analyst at Wood Mackenzie | Equities, Gas Modelling"
Software Engineer at Wood Mackenzie
Data Modelling Manager at Wood Mackenzie
VP of Data and Analytics Products
Software Engineer
Business Student at Northeastern University | Consulting Co-Op at Wood Mackenzie
Passionate about Customer Success | Wood Mackenzie | Lean Six Sigma
Principal Engineer at Wood Mackenzie
Artificial Intelligence Student l Passionate about Programming for Social Causes l Eager to work and learn
Data Scientist at Wood Mackenzie
Market Intelligence Analyst at Wood Mackenzie
Energy Consultant at Wood Mackenzie
Software Development - JS / Typescript
SRE Engineer
Senior Account Manager at Wood Mackenzie
"Research Director, North America Gas at Wood Mackenzie"
Data engineer at Wood Mackenzie
Renewables Research Analyst
Data Scientist @ Wood Mackenzie | M.S. Analytics @ Georgia Tech
Principal Software Engineer at Wood Mackenzie
Software Engineering Director at Wood Mackenzie
Passionate about improving products and customer experience
Data Analyst at Wood Mackenzie
Research Associate at Wood Mackenzie
Software Engineer II at Wood Mackenzie
"Ph.D, P. Eng"
Research Director at Wood Mackenzie
Technical Program Manager at Wood Mackenzie
Project Management | Data Analysis and Visualization
Energy and Supply Chain Market Intelligence at Wood Mackenzie
Senior Software Engineer at Wood Mackenzie
"Director, Management Consulting, Canada"
Energy Transition Research | Wood Mackenzie
Contract UI Developer
Product Designer
Energy Consultant at Wood Mackenzie
Masters’s of Public Policy Candidate & Market Intelligence Data Analyst
Product Director at Wood Mackenzie
Researcher at Wood Mackenzie || IIIT Bangalore (2020 -21) - Data Science
Research Analyst
Research Analyst at Wood Mackenzie Power & Renewables
Product Solutions Specialist - Metals and Mining/Power and Renewables
Energy Consulting at Wood Mackenzie
Product Owner / Product Manager
Market Analyst Lead NYISO
Consultant @ Wood Mackenzie
Data Product Owner at Wood Mac
